파일명,정답_텍스트,추출_텍스트,추출_QR,글자인식_정확도(%)
normal_0001.png,(광고) [배달의민족] 비오는 날엔 역시 파전? 지금 바로 쓸 수 있는 3천원 쿠폰이 도착했습니다. 배민클럽 회원이라면 배달팁 무제한 무료! 무료수신거부 080-469-8687,(광고) [배달의민족] 비오는 날엔 역시 파전?지금 바로 쓸 수 있는 3천원 쿠 폰이 도착했습니다. 배민클럽 회원이라면 배달팁 무제한 무료! 무료수신거부 080-469-8687,,100
normal_0002.png,"[무신사] 반품 접수가 완료되었습니다. 영업일 1~3일 내 기사님이 방문하실 예정입니다.[무신사] 결제완료 안내 주문번호: 372289110 금액: ['450,000', '1,600,000', '4,450,000', '3,900,000', '4,900,000', '1,650,000']원 상품명 외 1건 상세보기: https://무신사.com/my/order","[무신사] 반품 접수가 완료되었습니다.영업일 1~3일 내 기사님이 방문하실 예정입니다.[무신 사]결제완료 안내 주문번호:372289110 금액: ['450,000','1,600,000','4,450,000, 3,900,000, '4,900,000','1,650,000']원 상품명 외1건 상세]보기[:https://무신사.com/my/order",,98.57
normal_0003.png,[민원24] 신청하신 서류 발급이 완료되었습니다. 홈페이지에서 출력 가능합니다.,[민원24] 신청하신 서류 발급이 완료되었습니 다.홈페이지에서 출력 가능합니다.,,100
normal_0004.png,(광고) [올리브영] [올영세일] 오늘이 마지막! 최대 70% 할인 + 선착순 쿠폰 팩 증정. 지금 가까운 매장이나 '오늘드림'으로 만나보세요. 무료수신거부 080-774-2334,(광고) [올리브영] [올영세일] 오늘이 마지막!최대 70%할인+선착순 쿠폰 팩 증정. 지금 가까운 매장이나'오늘드림'으로 만나보세요. 무료수신거부 080-774-2334,,100
normal_0005.png,동생! 아까 말한 기프티콘 식탁 위에 올려놨으니까 확인해 보세요.,동생! 아까말한 기프티콘 식탁위에 올려났으니까 확인해 보세요,,94.55
normal_0006.png,[인사팀] 오전 10시 30분까지 법정 의무 교육 미이수자는 수강 완료 바랍니다. 링크: https://gw.workplace.co.kr/main,[인사팀] 오전 10시 30분까지 법정 의무 교육 미 이수자는 수강 완료 바랍니다.링크: https:/lgw.workplace.co.kr/main,,98.55
normal_0007.png,[CGV] 예매완료 안내 03/29 21:05 영화: 듄: 파트2 인원: 성인 1명 상영관: 6관 즐거운 관람 되세요.,[CGV]예매완료 안내 03/29 21:05 영화:둔:파트2 인원:성인 1명 상영관:6관 - 즐거운 관람 되세요.,,97.09
normal_0008.png,(광고) [다이소] 신규 컬렉션 런칭! 오직 다이소에서만 만날 수 있는 단독 할인 혜택을 확인하세요. 혜택: 전 상품 16% 쿠폰 제공 무료수신거부 080-934-1980,(광고) [다이소] 신규 컬렉션 런칭! 오직 다이소에서만 만날 수 있는 단 독 할인 혜택을 확인하세요. 혜택:전 상품 16% 쿠폰 제공 무료수신거부 080-934-1980,,100
normal_0009.png,"(광고) [올리브영] 고객님, 장바구니에 담아두신 상품이 세일 중입니다. 품절되기 전에 확인하세요! 무료수신거부 080-827-9741","(광고) [올리브영] 고객님,장바구니에 담아두신 상품이 세일 중입니다. 품절되기 전에 확인하세요! 무료수신거부 080-827-9741",,100
normal_0010.png,"(광고) [배달의민족] 고객님, '더귀한분' 등급 유지를 위해 주문 1회가 부족해요! 이 달의 혜택을 놓치지 마세요. 무료수신거부 080-750-5229","(광고) [배달의민족] 고객님,'더귀한분'등급 유지를 위해 주문 1회가 부 족해요! 이 달의 혜택을 놓치지 마세요. 무료수신거부 080-750-5229",,100
normal_0011.png,"현우야, 이따가 밤에에 학교 앞 스타벅스에서 스터디 모임 하는 거 맞지?","현우야,이따가 밤에에 학교 앞 스타벅스에서 스 터디 모임 하는 거 맞지?",,100
normal_0012.png,"수진야, 미안한데 나 지금 학교 앞 스타벅스인데 우산 좀 가져다줄 수 있어?","수진야,미안한데 나 지금 학교 앞 스타벽스인데 우산 좀 가져다줄 수 있어?",,96.77
normal_0013.png,"정다은야, 우리 클라우드 전환 발표 자료 구글 드라이브에 올려놨어. 확인해봐. https://zoom.us/j/987654321","정다은야,우리 클라우드 전환 발표 자료 구글 드라이 브에 올려놨어.확인해봐. https://zoom.us/j/987654321",,100
normal_0014.png,[기상청] 금일 18시부로 수도권 지역 한파주의보 발효. 건강관리에 유의하시기 바랍니다.,[기상청] 금일 18시부로 수도권 지역 한파주의보 발효. 건강관리에 유의하시기 바랍니다.,,100
normal_0015.png,🚨 상반기 성과지표 서버에 오류가 발생했습니다. 담당자분들은 지금 바로 https://docs.google.com/spreadsheets/d/work123 접속 바랍니다.,상반기 성과지표 서버에 오류가 발생했습니다.담당 자분들은 지금 바로 https://docs.google.com/spreadsheets/d/work123 접속 바랍니다.,,99.4
normal_0016.png,"정다은 대리님, 아까 말씀하신 상반기 성과지표 예산안 오타 수정해서 다시 보냈습니다.","정다은대리님,아까말씀하신상반기성과지표 예산 안 오타 수정해서 다시 보냈습니다.",,100
normal_0017.png,(광고) [무신사] [품절임박] 고객님이 찜하신 상품의 재고가 얼마 남지 않았습니다. 서둘러 확인하세요! 무료수신거부 080-487-2354,(광고) [무신사] [품절임박] 고객님이 찜하신 상품의 재고가 얼마 남 지 않았습니다.서둘러 확인하세요! 무료수신거부 080-487-2354,,100
normal_0018.png,(광고) [다이소] 신규 컬렉션 런칭! 오직 다이소에서만 만날 수 있는 단독 할인 혜택을 확인하세요. 혜택: 전 상품 10% 쿠폰 제공 무료수신거부 080-385-5662,(광고)[다이소] 신규 컬렉션 런칭! 오직 다이소에서만 만날 수 있 는 단독 할인 혜택을 확인하세요. 혜택: 전 상품10% 쿠폰 제공 무료수신거부 080-385-5662,,100
normal_0019.png,"(광고) [야놀자] [여름휴가 얼리버드] 국내 숙소 최대 50,000원 할인권 발급! 지금 예약하면 8월 휴가비가 절반으로. 무료수신거부 080-877-1718","(광고)[야놀자] [여름휴가 얼리버드] 국내 숙소 최대 50,000 원 할인권 발급! 지금 예약하면 8월 휴가비가 절반으로. 무료수신거부 080-877-1718",,100
normal_0020.png,[IT지원] PC 보안 프로그램 업데이트가 필요합니다. 이번 주 금요일 전까지 재부팅 부탁드립니다.,[IT지원] PC 보안 프로그램 업데이트가 필요합 니다.이번 주 금요일 전까지 재부팅 부탁드립니 다.,,100
normal_0021.png,[인사팀] 금일 점심시간 직후부터 외부 미팅 장소 이용이 제한됩니다. 양해 부탁드립니다.,[인사팀] 금일 점심시간 직후부터 외부 미팅 장소 이용 이 제한됩니다.양해 부탁드립니다.,,100
normal_0022.png,혹시 캡스톤 회의 교안 찍어서 보내줄 수 있는 사람? 나 오늘 몸이 안 좋아서 못 갔어 ㅠㅠ,혹시 캡스톤 회의 교안 찍어서 보내줄 수 있는 사람?나 오늘 몸이 안 좋아서 못 갔어 ㅠㅠ,,100
normal_0023.png,합격 축하해! 드디어 고생한 보람이 있네 ㅠㅠ 이따가 학교 앞 스타벅스에서 내가 쏠게!,학교 앞 스타벅스에서 내가 쓸게! 이이어,,49.06
normal_0024.png,수업 끝나고 홍대 입구에서 밥 먹을 사람? 오늘 메뉴 돈까스라는데 고?,수업 끝나고 홍대 입구에서 밥 먹을 사람?오늘 메뉴 돈까스라는데 고?,,100
normal_0025.png,"박지민 주임님, 요청하신 차세대 보안 솔루션 관련 분석 보고서 메일 발송했습니다.","박지민 주임님,요청하신 차세대 보안 솔루션 관련 분석 보고서 메일발송했습니다.",,100
normal_0026.png,"(광고) [배달의민족] 고객님, '더귀한분' 등급 유지를 위해 주문 1회가 부족해요! 이 달의 혜택을 놓치지 마세요. 무료수신거부 080-999-6317","[미하배A](운) 고객님,'더귀한분'등급 유지를 위해 주문 1회가 부 족해요! 이·달의 혜택을 놓치지 마세요. 무료수신거부 080-999-6317",,87.59
