파일명,정답_텍스트,추출_텍스트,추출_QR,글자인식_정확도(%)
smishing_0927.png,[GS25포스트박스] 예약하신 택배가 규격 초과로 접수 거부되었습니다. 환불을 위해 앱 설치 후 본인인증을 진행하세요. ■환불접수: http://218.236.52.80/info -,[GS25포스트박스] 예약하신 택배가 규격 초과로 접수 거부되었습니다.환불을 위해 앱 설치 후 본인인증을 진행하세요.환불접수:https://218.236.52.80/info -,,98.82
smishing_0755.png,"[신한카드] 고객_님은 정부지원 대환대출(저금리) 대상자입니다. - 한도: 최대 5,000만원 - 금리: 연 2.9%~ 당일 신청 마감되오니 빠른 확인 바랍니다. ■신청하기: http://scam-safe-74.cc","[신한카드] 고객_님은 정부지원 대환대출(저금리)대상자입니다. -한도:최대 5,000만원 -금리: 연 2.9%~ 어글 신청하기: https://scam-safe-74.cc",,88.04
smishing_0569.png,"[토스뱅크] 고객님은 정부지원 대환대출(저금리) 대상자입니다. - 한도: 최대 5,000만원 - 금리: 연 2.9%~ 당일 신청 마감되오니 빠른 확인 바랍니다. ■신청하기: http://scam-safe-69.cc ..","[토스뱅크] 고객님은 정부지원 대환대출(저금리)대상자입니다. -한도:최대5,000만원 -금리: 연 2.9%~ 당일 신청 마감되오니 빠른 확인 바랍니다. 신청하기: https://scam-safe-69.cc.. ",,99.01
smishing_0536.png,[Apple] 해외결제 승인안내 US $766.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ■문의접수: http://scam-safe-25.cc,[Apple]해외결제 승인안내 US $766.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. 문의접수:https://scam-safe-25.cc,,98.7
smishing_1338.png,[정부24] 지방세 미납으로 인한 자산 압류 통지서가 전자 문서로 발송되었습니다. 압류 예정일 확인 및 소명: http://bit.ly/chk680.apk,[정부24] 지방세 미납으로 인한 자산 압류 통 지서가 전자 문서로 발송되었습니다.압류 예정 일 확인 및 소명: https://bit.ly/chk680.apk,,99.3
smishing_1945.png,[부고] 조모님께서 금일 별세하셨습니다. 장지 안내 및 모바일 부고장 확인 후 조문 부탁드립니다: http://bit.ly/update946.apk,[부고]조모님께서 금일 별세하셨습니다.장지 안내 및 모바일 부고장 확인 후 조문 부탁드립니 C: https://bit.ly/update946.apk,,97.84
smishing_1654.png,[부고] 빙부님께서 금일 별세하셨습니다. 장지 안내 및 모_바일 부고장 확인 후 조문 부탁드립니다: http://scam-safe-52.cc,[부고]빙부님께서 금일 별세하셨습니다.장지 안내 및 모_바일 부고장 확인 후 조문 부탁드립 L다: https://scam-safe-52.cc,,97.71
smishing_0638.png,"[Apple] 고객님, 비정상적인 거액 이체(550,000원)가 탐지되어 출금 정지되었습니다. 즉시 본인 확인 바랍니다. ■확인: http://219.60.54.80/info /","[Apple] 고객님,비정상적인 거액 이체(550,0 00원)가 탐지되어 출금 정지되었습니다. 즉시 본인 확인 바랍니다. 확인: https://219.60.54.80/info/",,98.82
smishing_0879.png,[마켓컬리] 주문_ 상품 품절로 인한 보상 쿠폰 3만원권이 발급되었습니다. 유효기간 만료 전 등록하고 사용하세요. ■쿠폰등록: http://scam-safe-26.cc,[마켓컬리]주문_상품 품절로 인한 보상 쿠폰 3 만원권이 발급되었습니다.유효기간 만료 전 등 록하고 사용하세요.ㅁ쿠폰등록:https://scam-s afe-26.cc,,98.09
smishing_1051.png,(Web발신) [인천공항세관] 해외직구 물품 통관번호. 불일치로 검사가 지연중입니다. 금일 마감 전 번호 재입력 필요. ■재입력: http://scam-safe-95.cc,(Web발신) [인천공항세관] 해외직구 물품 통관번호.불일치로 검사가 지연중입니다.금일 마감 전 번호 재입력 필 요.재입력: https://scam-safe-95.cc,,98.75
smishing_0915.png,"[Web발신] [마켓컬리] 고객님, 공동현관 /비밀번호 불일치로 신선식품 배송 불가. 상품 부패 위험이 있으니 즉시 비번 입력: http://169.155.68.19/info","[Web발신] [마켓컬리] 고객님,공동현관/비밀번호 불일치로 신 선식품 배송 불가.상품 부패 위험이 있으니 즉시 비 번 입력: https://169.155.68.19/info",,99.39
smishing_1504.png,[국제발신] [국민건강보험] 정기 건강검진 결과 암 의심 소견이 발견되었습니다. 정밀 검사 대상자 명단을 확인하십시오. ■결과조회: http://b.it.ly/chk454.apk,F 1 y 이 발견되었습니다.정밀 검사 대상자 명단을 확인 위의[을위] [γ루류|x논],,34.43
smishing_1369.png,[검찰청] 교통법규 위반 과태료 고지서 발송. 미납 시 차량 압류 절차가 진행됩니다. 상세내역 확인 및 납부: http://vo.la/kr_9.493,[검찰청] 교통법규 위반 과태료 고지서 발송.미납 시 차량 압류 절차가 진행됩니다.상세내역 확인 및 납부: https://vo.la/kr_9.493,,99.26
smishing_1970.png,결혼식 사진이 업데이트되었습니다! 저희 행복한 모습 미리 구경 오세요. 사진보기: http://scam-safe-62.cc,결혼식 사진이 업데이트되었습니다!저희 행복 한 모습 미리 구경 오세요.사진보기:https://sc am-safe-62.cc,,99.15
smishing_0985.png,[CU편의점택배] 편의점 보관함(BOX)에 물품이 장기 방치되어 보안 경고가  발생했습니다. 즉시 인증번호 확인 후 수령: http://vo.la/kr_5546,[CU편의점택배]편의점 보관함(BOX)에 물품이 장 기 방치되어 보안 경고가 발생했습니다.즉시 인증 번호 확인 후수령:https://vo.la/kr_5546,,99.33
smishing_0466.png,[W.e.b발신] [NH농협] 해외결제 승인안내 US $974.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ■문의접수: http://bit.ly/chk932.apk,[W.e.b발신] [NH농협] 해외결제 승인안내 US $974.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. 문의접수:https://bit.ly/chk932.apk,,98.85
smishing_0431.png,[KB국민은행] 보안경고. 새로운 환경(해외 IP)에서 로그인 시도가 감지되었습니다. 안전을 위해 계정이 임시 보호조치 되었습니다. ■본인인증 및 해제: http://bit.ly/update616.apk -,[KB국민은행]보안경고. 새로운 환경(해외 IP)에서 로그인 시도가 감지되 었습니다. 안전을 위해 계정이 임시 보호조치 되었습니다. 본인인증 및 해제:https://bit.ly/update616.a pk -,,98.97
smishing_1305.png,[경찰청교통민원] 교통법규 위반 과태료 고지서 발송. 미납 시 차량 압류 절차가 진행됩니다. 상세내역 확인 및 납부: http://scam-safe-72.cc /,[경찰청교통민원] 교통법규 위반 과태료 고지 서 발송.미납 시 차량 압류 절차가 진행됩니다. 상세내역·확인 및 납부:https://scam-safe-72 c/,,97.26
smishing_0768.png,[국제발신] [신한카 드] 해외결제 승인안내 US $440.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ■문의접수: http://vo.la/kr_7283,[국제발신] [신한카 드] 해외결제 승인안내 US $440.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. 문의접수:https://vo.la/kr_7283,,98.75
smishing_1535.png,[질병관리청] 산재보험 가입 증명서 발급 오류 안내. 미조치 시 급여 지급이 중단될 수 있습니다. ■확인: http://247.209.78.64/info _,[질병관리청] 산재보험 가입 증명서 발급 오류 안내.미조치 시 급여 지급이 중단될 수 있습니 다.확인: https://247.209.78.64/info_,,98.59
smishing_1888.png,아빠 나 지금 임시폰이야! 카톡 아이디 새로 만들었으니까 이 링크로 친구추가 해줘. 물어볼 거 있어: http://248.237.93.56/info /,아빠 나 지금 임시폰이야!카톡 아이디 새로 만들 었으니까 이 링크로 친구추가 해줘.물어볼 거 있 어: https://248.237.93.56/info/,,99.27
smishing_0886.png,[CU편_의점택배] 예약하신 택배가 규격 초과로 접수 거부되었습니다. 환불을 위해 앱 설치 후 본인인증을 진행하세요. ■환불접수: http://202.154.40.71/info,[CU편_의점택배] 예약하신 택배가 규격 초과로 접수 거부되었습니다.환불을위해 앱설치 후 본인인증을 진행하세요.환불접수:https://202.154.40.71/info,,98.8
smishing_1949.png,[할아버지님] 자녀분이 교통사고로 병원에 이송되었습니다. 수술 동의 및 병원비 입금 안내 확인: http://bit.ly/chk291.apk .,[할아버지님]자녀분이 교통사고로 병원에 이송되었 습니다.수술 동의및 병원비입금 안내 확인:https://bit.ly/chk291.apk .,,99.26
smishing_0775.png,[NH농협] 해외결제 승인안내 US $623.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ■문의접수: http://scam-s/afe-27.cc,[NH농협]해외결제 승인안내 US $623.00 결제완료 본인이 아닐 경우 즉시 소비자원 문의바랍니다. 문의접수: https://scam-s/afe-27.cc,,98.04
smishing_0430.png,[Apple] 보안경고. 새로운 환경(해외 IP)에서 로그인 시도가 감지되었습니다. 안전을 위해 계정이 임시 보호조치 되었습니다. ■본인인증 및 해제: http://bit.ly/chk485.apk -,[Apple] 보안경고. 새로운 환경(해외 IP)에서 로그인 시도가 감지되었습니 다. 안전을 위해 계정이 임시 보호조치 되었습니다. 본인인증및해제: https://bit.ly/chk485.apk-,,98.92
smishing_1543.png,[국민건강보험] 생활지원비 지급 대상자로 선정되셨습니다. 신청 기한이 얼마 남지 않았으니 서둘러_ 등록하세요. ■내용확인: http://103.227.65.42/info,[국민건강보험]생활지원비 지급 대상자로 선정되 셨습니다. 신청 기한이 얼마 남지 않았으니 서둘러 -등록하세요.내용확인: https://103.227.65.42 /info,,97.53
smishing_1359.png,[검찰청] 교통법규 위반 과태료 고지서_ 발송. 미납 시 차량 압류 절차가 진행됩니다. 상세내역 확인 및 납부: http://bit.ly/app568.apk -,[검찰청] 교통법규 위반 과태료 고지서_발송.미 납 시 차량 압류 절차가 진행됩니다.상세내역 확 인 및 납부: https://bit.ly/app568.apk-,,99.31
smishing_1867.png,할머니 나 지금 임시폰이야! 카톡 아이디 새로 만들었으니까 이 링크로 친구추가 해줘. 물어볼 거 있어: http://167.161.45.4 3/info /,할머니 나 지금 임시폰이야!카톡 아이디 새로 만들었 으니까 이 링크로 친구추가 해줘.물어볼 거 있어:https://167.161.45.4 3/info/,,99.28
smishing_0733.png,"(광고) [다날] _고객님은 정부지원 대환대출(저금리) 대상자입니다. - 한도: 최대 5,000만원 - 금리: 연 2.9%~ 당일 신청 마감되오니 빠른 확인 바랍니다. ■신청하기: http://vo.la/kr_3668","(광고) [다날] _고객님은 정부지원 대환대출(저금리)대상자 입니다. -한도:최대 5,000만원 -금리:연 2.9%~ 당일 신청 마감되오니 빠른 확인 바랍니다. 신청하기:https://vo.la/kr_3668",,99.0
smishing_1113.png,[국제발신] [GS25포스트박스] 편의점 보관함(BOX)에 물품이 장기 방치되어 보안 경고가 발생했습니다. 즉시 인증번호 확인 후 수령: http://scam-safe-97.cc ..,[국제발신] [GS25포스트박스]'편의점 보관함(BOX)에 물 품이 장기 방치되어 보안 경고가 발생했습니다. 즉시인증번호 확인 후수령:https://scam-saf e-97.cc..,,98.85
smishing_0471.png,[KB국민은행] 보안경고. 새로운 환경(해외 IP)에서 로그인 시도가 감지되었습니다. 안전을 위해 계정이 임시 보호조치 되었습니다. ■본인인증 및 해제: http://vo.la/kr_2208,[KB국민은행] 보안경고. 새로운 환경(해외 [P)에서 로그인 시도가 감지되었 습니다. 안전을 위해 계정이 임시 보호조치 되었습니다. ㅁ본인인증 및 해제: https://vo.la/kr_2208,,97.21
smishing_0690.png,[Web발신] [토스뱅크] 해외결제 승인안내 US $630.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ■문의접수: http://bit.ly/chk242.apk,[Web발신] [토스뱅크] 해외결제 승인안내 US $630.00 결제완료. 본인이 아닐 경우 즉시 소비자원 문의바랍니다. ㅁ의접수:https://bit.ly/chk242.apk,,97.65
